getgid,getrandom,access,getdents64,fcntl,write,getcwd,geteuid,execve,dup,mmap,prctl,gettid,print,ioctl,openat,getuid,getegid,brk,pread64,isSorted,futex,close,exit_group,CPU Time (seconds)
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.27
1,4,2,48,5,8,3,1,1,3,127,6,1,1,152,218,1,1,24,4,0,18,221,1,0.02
1,2,1,18,1,9,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,20,1,1,2,1,1,3,28,0,0,0,36,50,1,1,9,4,0,1,50,1,0.04
1,4,2,48,3,6,3,1,1,3,126,6,1,0,146,214,1,1,26,4,0,18,216,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.53
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,9,4,0,1,37,1,0.32
1,2,1,26,1,8,2,1,1,3,53,0,0,0,90,98,1,1,16,4,0,1,98,1,0.59
1,2,1,18,1,5,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,23,4,0,18,216,1,0.09
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,29,4,0,18,216,1,0.07
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,27,4,0,18,216,1,7.06
1,2,1,18,1,0,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.12
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,25,4,0,18,216,1,0.38
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,32,4,0,18,216,1,1.08
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,29,4,0,18,216,1,0.01
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.01
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.01
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,0.61
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,1.49
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.66
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,27,4,0,18,216,1,0.43
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.65
1,2,1,18,1,2,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,2,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,1.52
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.94
1,4,2,48,5,6,3,1,1,3,126,6,1,0,147,215,1,1,27,4,0,18,218,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,0.06
1,2,1,20,1,1,2,1,1,3,28,0,0,1,40,50,1,1,9,4,0,1,50,1,0.01
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,0.07
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,4,2,48,3,4,3,1,1,3,126,6,1,1,142,214,1,1,26,4,0,18,216,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,0.01
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.01
1,2,1,18,1,2,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.02
1,2,1,18,1,8,2,1,1,3,27,0,0,3,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,2,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,3,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,3,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.06
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,4,2,48,1,4,3,1,1,3,126,6,1,0,142,214,1,1,27,4,0,18,215,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,20,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,20,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.96
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.07
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.02
1,2,1,18,1,2,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,0.07
1,4,2,48,1,4,3,1,1,3,126,6,1,0,142,214,1,1,28,4,0,18,215,1,0.07
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,2,2,1,1,3,27,0,0,1,24,37,1,1,7,4,0,1,37,1,0.02
